"K1","ko"
"ko:K03457",""
"ko:K06949","ko01100"
"ko:K01916","ko01240"
"ko:K02454","ko05111"
"ko:K00163","ko01210"
"ko:K01444","ko04142"
"ko:K07749","ko01100"
"ko:K03775",""
"ko:K06942",""
"ko:K01443","ko01100"
"ko:K02049",""
"ko:K11754","ko01240"
"ko:K18827",""
"ko:K18990",""
"ko:K01878","ko00970"
"ko:K09117",""
"ko:K03581","ko03440"
"ko:K08465",""
"ko:K01056",""
"ko:K00762","ko01240"
"ko:K00651","ko01230"
"ko:K03431","ko01250"
"ko:K16968","ko01100"
"ko:K09699","ko01210"
"ko:K10440","ko02010"
"ko:K03119","ko00920"
"ko:K01912","ko05111"
"ko:K00603","ko01100"
"ko:K01497","ko02024"
"ko:K02026",""
"ko:K03978",""
"ko:K01580","ko04940"
"ko:K14584","ko01220"
"ko:K13292",""
"ko:K07164",""
"ko:K01523","ko01230"
"ko:K10229","ko02010"
"ko:K12957","ko01120"
"ko:K08357","ko02020"
"ko:K17686","ko04978"
"ko:K22081","ko01120"
"ko:K11720","ko02010"
"ko:K00666",""
"ko:K03621","ko01110"
"ko:K22083","ko01120"
"ko:K00864","ko04626"
"ko:K05569",""
"ko:K00228","ko01240"
"ko:K06445","ko01212"
"ko:K02994","ko03010"
"ko:K07052",""
"ko:K03307",""
"ko:K01945","ko01110"
"ko:K02429",""
"ko:K09017",""
"ko:K13979","ko01120"
"ko:K02044","ko02010"
"ko:K03595",""
"ko:K05568",""
"ko:K02954","ko03010"
"ko:K01749","ko01240"
"ko:K03831","ko04122"
"ko:K06180",""
"ko:K08086",""
"ko:K03981",""
"ko:K03325",""
"ko:K03743","ko01100"
"ko:K09908",""
"ko:K00254","ko01240"
"ko:K06971",""
"ko:K03800","ko01240"
"ko:K02433","ko01100"
"ko:K04518","ko01230"
"ko:K00946","ko01240"
"ko:K10126","ko02020"
"ko:K03783","ko01232"
"ko:K02558",""
"ko:K06959",""
"ko:K01081","ko01232"
"ko:K00919","ko01110"
"ko:K02662",""
"ko:K01847","ko04980"
"ko:K13643",""
"ko:K12256","ko01100"
"ko:K22041",""
"ko:K05304","ko01250"
"ko:K07494",""
"ko:K03747",""
"ko:K07010",""
"ko:K00347",""
"ko:K06920","ko01100"
"ko:K00305","ko01100"
"ko:K03208","ko00543"
"ko:K03381","ko01220"
"ko:K12434",""
"ko:K00138","ko01120"
"ko:K03641",""
"ko:K03113",""
"ko:K00566","ko04122"
"ko:K03578",""
"ko:K03929",""
"ko:K22084","ko01120"
"ko:K20332","ko02024"
"ko:K20807","ko01120"
"ko:K03496",""
"ko:K02533",""
"ko:K01692","ko01212"
"ko:K06980",""
"ko:K07220",""
"ko:K03841","ko04922"
"ko:K12436",""
"ko:K07184",""
"ko:K20881","ko01232"
"ko:K04773",""
"ko:K04042","ko01250"
"ko:K03071","ko03070"
"ko:K03642",""
"ko:K01581","ko04148"
"ko:K03572","ko03430"
"ko:K15012","ko02020"
"ko:K06200",""
"ko:K01533",""
"ko:K10716",""
