"K1","ko"
"ko:K02689","ko01100"
"ko:K01210","ko01100"
"ko:K00311",""
"ko:K08828",""
"ko:K11584","ko05165"
"ko:K14855",""
"ko:K08869",""
"ko:K00387","ko01120"
"ko:K03033","ko05169"
"ko:K00545","ko04728"
"ko:K18106","ko01100"
"ko:K01090",""
"ko:K01369","ko04612"
"ko:K20353",""
"ko:K19754",""
"ko:K04860","ko05414"
"ko:K01275","ko04210"
"ko:K06820","ko04360"
"ko:K11295",""
"ko:K22382",""
"ko:K03671","ko05418"
"ko:K08627",""
"ko:K10745","ko03030"
"ko:K02218","ko04392"
"ko:K11718","ko04141"
"ko:K04837",""
"ko:K07953","ko05134"
"ko:K14436",""
"ko:K02732","ko05022"
"ko:K14402","ko03015"
"ko:K12837","ko03040"
"ko:K08272","ko04152"
"ko:K03852","ko01100"
"ko:K10393","ko04814"
"ko:K10411","ko05022"
"ko:K10251","ko01212"
"ko:K01872","ko00970"
"ko:K03453",""
"ko:K16669","ko04392"
"ko:K01834","ko05230"
"ko:K08844","ko05022"
"ko:K00993","ko01110"
"ko:K11835",""
"ko:K03164","ko01524"
"ko:K09493",""
"ko:K04392","ko05418"
"ko:K15102",""
"ko:K00694","ko02026"
"ko:K14454","ko01230"
"ko:K03917","ko05171"
"ko:K00728","ko01100"
"ko:K00274","ko05034"
"ko:K14794",""
"ko:K11594","ko05203"
"ko:K00569","ko00983"
"ko:K02889","ko05171"
"ko:K02257","ko04714"
"ko:K13210",""
"ko:K02931","ko03010"
"ko:K16280",""
"ko:K10358","ko05132"
"ko:K06413",""
"ko:K01623","ko04066"
"ko:K17679",""
"ko:K22068",""
"ko:K09935",""
"ko:K22372",""
"ko:K02937","ko05171"
"ko:K14317","ko05014"
"ko:K14802","ko04148"
"ko:K05916",""
"ko:K12817","ko03040"
"ko:K06101","ko01100"
"ko:K08912","ko01100"
"ko:K18468","ko04144"
"ko:K03070","ko03070"
"ko:K06617","ko01100"
"ko:K12401","ko04142"
"ko:K08678","ko01250"
"ko:K14561","ko03008"
"ko:K03098",""
"ko:K03320",""
"ko:K00895","ko01120"
"ko:K14754","ko05171"
"ko:K01952","ko01110"
"ko:K04097","ko05204"
"ko:K01137","ko04142"
"ko:K11840",""
"ko:K20291",""
